ID,song,song_popularity,artist,album,album_cover,artist_popularity,genre
,Disconnected,64,James Hype,Disconnected,https://i.scdn.co/image/ab67616d0000b273d7b81d8d996cf37eaed12863,75,electronic
,"Red Light Green Light - For Club Play Only, Pt. 6",64,Duke Dumont,"Red Light Green Light (For Club Play Only, Pt. 6)",https://i.scdn.co/image/ab67616d0000b273c703a92731a78852ef32b3d2,65,electronic
,Deep End - SIDEPIECE Remix,64,John Summit,Deep End (SIDEPIECE Remix),https://i.scdn.co/image/ab67616d0000b2735376aff642718410e56f351c,65,electronic
,You Wish,64,Nightmares On Wax,In A Space Outta Sound,https://i.scdn.co/image/ab67616d0000b2735bd16afeadaf06b423326c31,55,electronic
,Unfinished Sympathy - 2012 Mix/Master,64,Massive Attack,Blue Lines (2012 Mix/Master),https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5,62,electronic
,Galvanize,64,The Chemical Brothers,Push The Button,https://i.scdn.co/image/ab67616d0000b2738e8f975a2b364769040c8169,61,electronic
,Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,57,blues
,Everybody Needs Somebody to Love,63,The Blues Brothers,The Blues Brothers Original Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b2739a88a61e9fb51cce727b0f52,55,blues
,Rocky Mountain Way,63,Joe Walsh,"The Smoker You Drink, The Player You Get",https://i.scdn.co/image/ab67616d0000b2732df4d3c8c429700194bc0dfe,57,blues
,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",63,Johannes Brahms,Volodos Plays Brahms,https://i.scdn.co/image/ab67616d0000b273ce67b9a7547bce54f986a6b0,64,classical
,"Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)",63,Robert Schumann,"Schumann: Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)",https://i.scdn.co/image/ab67616d0000b273bb11cd186a36a00f0bdc835b,62,classical
,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",63,Johann Sebastian Bach,Bach: Unaccompanied Cello Suites (Remastered),https://i.scdn.co/image/ab67616d0000b273261feb89ee859b598bd34a97,75,classical
,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",63,Antonio Vivaldi,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",https://i.scdn.co/image/ab67616d0000b273286ad27505307c3d93ac6ab1,68,classical
,Satie / Orch. Ducros: Gymnopédie No. 1,63,Erik Satie,Emotions,https://i.scdn.co/image/ab67616d0000b2734fc04a4cbdc924b27561460d,65,classical
,I'll Be Seeing You,63,Billie Holiday,Billie Holiday,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,63,jazz
,Blue Moon,63,Billie Holiday,Solitude,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,63,jazz
,Dream A Little Dream Of Me,63,Louis Armstrong,What A Wonderful World,https://i.scdn.co/image/ab67616d0000b273601c5174eb7d0073bb79764f,68,jazz
,Água de Beber,63,Astrud Gilberto,The Astrud Gilberto Album,https://i.scdn.co/image/ab67616d0000b273b48a079c5273b6141af2dc35,60,jazz
,Tonight's Da Night,63,Redman,Whut? The Album,https://i.scdn.co/image/ab67616d0000b2733397cc60078359cce2ed2874,64,hiphop
,Put It On,63,Big L,Lifestylez Ov Da Poor & Dangerous,https://i.scdn.co/image/ab67616d0000b273f22da4550a4de3cefb5afc0b,58,hiphop
,Mama Said Knock You Out,63,LL COOL J,Mama Said Knock You Out,https://i.scdn.co/image/ab67616d0000b273ea56f049af3cd747595ca724,62,hiphop
,The Humpty Dance,63,Digital Underground,Sex Packets,https://i.scdn.co/image/ab67616d0000b273583f0ebff7dce26f8998513d,54,hiphop
,Blow the Whistle,63,Too $hort,Blow The Whistle,https://i.scdn.co/image/ab67616d0000b273e48bd3d406a9d91cc3178766,63,hiphop
,1539 N. Calvert,63,JPEGMAFIA,Veteran,https://i.scdn.co/image/ab67616d0000b273f8aaeba5e6dee1745371e822,62,hiphop
,Handsome,63,Dave East,Karma 3,https://i.scdn.co/image/ab67616d0000b27378ca46b9125d774ad8dbc66e,61,hiphop
,We Ball,63,Ace Hood,Mr. Hood,https://i.scdn.co/image/ab67616d0000b27365930858e3f6563c2dd2e5bc,61,hiphop
,Motorcycle Patches,63,Huncho Jack,"Huncho Jack, Jack Huncho",https://i.scdn.co/image/ab67616d0000b273631973893e94d01cfcdf0e5e,59,hiphop
,1 Thing,63,Amerie,Touch,https://i.scdn.co/image/ab67616d0000b27315dd2fc9aa1109bbe1456916,55,hiphop
,Runnin',63,The Pharcyde,Labcabincalifornia (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2738248914bbbcdcba2d154c8de,58,hiphop
,Wanna Get To Know You,63,G-Unit,Beg For Mercy,https://i.scdn.co/image/ab67616d0000b2735763a1ac1bce68a1af55b6e3,62,hiphop
,Gettin' It (feat. Parliament Funkadelic),63,Too $hort,Gettin' It (Album Number Ten),https://i.scdn.co/image/ab67616d0000b27339abdab31997fcb39b773670,63,hiphop
,Till It's Gone,63,Yelawolf,Love Story,https://i.scdn.co/image/ab67616d0000b27385b51e47b16a87b82c252dc5,65,hiphop
,O.P.P,63,Naughty By Nature,Naughty By Nature,https://i.scdn.co/image/ab67616d0000b273f631e275b1f65ce108977e4e,57,hiphop
,It's Like That,63,Run–D.M.C.,The Greatest Hits,https://i.scdn.co/image/ab67616d0000b273a4ad282a80ca274058a0618d,61,hiphop
,WIN,63,Jay Rock,Redemption,https://i.scdn.co/image/ab67616d0000b273c30d59775ce5ef3f59138f59,70,hiphop
,Me And My Girlfriend,63,Makaveli,The Don Killuminati: The 7 Day Theory,https://i.scdn.co/image/ab67616d0000b273c151cbd53f57496d757a0154,57,hiphop
,Gang Signs (feat. ScHoolboy Q),63,Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),https://i.scdn.co/image/ab67616d0000b27346e9c7ffb581bad9fdbe1e2e,67,hiphop
,Slow Jamz (feat. Kanye West & Jamie Foxx),63,Twista,Kamikaze,https://i.scdn.co/image/ab67616d0000b27331a1692ccc97e4924773b3e4,66,hiphop
,Figaro,63,Madvillain,Madvillainy,https://i.scdn.co/image/ab67616d0000b27374dc897ea75402db37ef239a,64,hiphop
,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",63,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c,67,hiphop
,Your Song,63,Rita Ora,Phoenix (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273f1b136eb0388414a8225a348,73,pop
,King,63,Years & Years,Communion (Deluxe),https://i.scdn.co/image/ab67616d0000b2731b540c6520c468dfc0171a60,70,pop
,Smile,63,Lily Allen,"Alright, Still (Bonus Track Version)",https://i.scdn.co/image/ab67616d0000b273903b3846b9843677ca51bad9,67,pop
,A Kiss,63,THE DRIVER ERA,Girlfriend,https://i.scdn.co/image/ab67616d0000b273e2f62f63ae239c028540bb3b,62,pop
,Bad Intentions,63,Niykee Heaton,The Bedroom Tour Playlist,https://i.scdn.co/image/ab67616d0000b2734217e3cb1cc0a8166902b86f,54,pop
,"Nails, Hair, Hips, Heels",63,Todrick Hall,"Haus Party, Pt. 1",https://i.scdn.co/image/ab67616d0000b2733e448adb455c139275cef610,58,pop
,Forever Young,63,Boy In Space,Forever Young,https://i.scdn.co/image/ab67616d0000b273138f4cb994680ec6f57c6a18,59,pop
,What You Did (feat. Ella Mai),63,Mahalia,LOVE AND COMPROMISE,https://i.scdn.co/image/ab67616d0000b2735a608d7d78c49723499b715d,61,pop
,Desert Rose,63,Lolo Zouaï,High Highs to Low Lows,https://i.scdn.co/image/ab67616d0000b2731bcb63af64dc87a807606363,53,pop
,I Think I Like You,63,The Band CAMINO,The Band CAMINO,https://i.scdn.co/image/ab67616d0000b2739d77ddd3dfab1a8530f30dee,62,pop
,Deve ser horrível dormir sem mim,63,Manu Gavassi,Deve ser horrível dormir sem mim,https://i.scdn.co/image/ab67616d0000b2736aa180d1e666dcef4cee6f5c,54,pop
,do u even miss me at all?,63,gianni & kyle,do u even miss me at all?,https://i.scdn.co/image/ab67616d0000b273f79ce85d7072f57f9cbb6013,54,pop
