song,song_popularity,artist,album,album_cover,artist_popularity,genre
She's A Sweet One,49,Junior Wells,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963",https://i.scdn.co/image/ab67616d0000b27399b18c5945d73fd58233fc68,41,blues
I Can't Quit You Baby,49,Willie Dixon,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,42,blues
Where Did You Sleep Last Night,49,Lead Belly,The Tradition Masters: Lead Belly,https://i.scdn.co/image/ab67616d0000b2733d4d818767af61139f0065aa,39,blues
Man of The World - Studio,49,Peter Green,The Best Of Peter Green Splinter Group,https://i.scdn.co/image/ab67616d0000b273cce7db292aeef538e0bf383c,44,blues
Wayfaring Pilgrim,49,Roy Buchanan,In The Beginning,https://i.scdn.co/image/ab67616d0000b27347b28052048e0ce683a35c26,42,blues
Big Chief - Remastered,49,Professor Longhair,Crawfish Fiesta (Remastered with Bonus Track),https://i.scdn.co/image/ab67616d0000b273912fee6f3dd1f3cedcf9e483,37,blues
Sunrise,49,Tab Benoit,Medicine,https://i.scdn.co/image/ab67616d0000b2731926d05c2c19d76b6fa5a792,45,blues
"Paris, Texas",49,Ry Cooder,Music by Ry Cooder,https://i.scdn.co/image/ab67616d0000b27329d2d8f2b5eb4acb68392ccd,51,blues
The Love Me Or Die,49,C.W. Stoneking,Jungle Blues,https://i.scdn.co/image/ab67616d0000b27322ef4c64271f69fe732dc1ea,45,blues
Little Red Rooster,49,Willie Dixon,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,42,blues
T-Bone Shuffle,49,Albert Collins,Deluxe Edition,https://i.scdn.co/image/ab67616d0000b27343d3dfc47879c663d5864e7c,45,blues
Lucille,49,B.B. King,Lucille,https://i.scdn.co/image/ab67616d0000b273fcc32ff721fcf492ec000282,61,blues
Black Magic Woman - 2018 Master,49,Fleetwood Mac,The Pious Bird of Good Omen,https://i.scdn.co/image/ab67616d0000b273da6e3c1088d0a90bc96b848c,78,blues
Nobody Knows You When You're Down And Out,49,Nina Simone,Pastel Blues,https://i.scdn.co/image/ab67616d0000b273fda3269eebbf31611d10bda6,67,blues
Souled Out On You,49,Robert Finley,Sharecropper's Son,https://i.scdn.co/image/ab67616d0000b273351803c56558c8921f73cfd1,39,blues
Eastham Prison Farm Blues - Stripped Back,49,Liam St. John,stripped back (Stripped Back),https://i.scdn.co/image/ab67616d0000b2735ece682eb1216d36bce468cb,46,blues
In The Night Time,49,The Cold Stares,Heavy Shoes,https://i.scdn.co/image/ab67616d0000b273c74c70f3fae90b1b5c575662,44,blues
Light - Edit,49,Michael Kiwanuka,Light (Edit),https://i.scdn.co/image/ab67616d0000b273ca5f6c2a347dd7e4bd0e28ba,64,blues
Mind’s Eye,49,Joe Bonamassa,Time Clocks,https://i.scdn.co/image/ab67616d0000b27324e6a48f82163d6b37a4d937,57,blues
Life Is Beautiful,49,Keb' Mo',Suitcase,https://i.scdn.co/image/ab67616d0000b27382cf8be6db302c99f242f441,52,blues
Bright Lights,49,Gary Clark Jr.,Blak and Blu (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273b1166865f86c48ab7c7a74e7,59,blues
